AutoCivil-Lab Research Log
[2026-03-12 15:34] Baseline | Model: RandomForestRegressor | RMSE: 4.17 | R2: 0.93 | Composite: 0.904 | Validation: WARN | Threshold established
[2026-03-12 15:34] Trial 001 | Model: SVR | C=0.4887 epsilon=0.562 kernel=rbf gamma=auto | RMSE: 8.80 | R2: 0.69 | Composite: 0.747 | Validation: WARN | No improvement
[2026-03-12 15:34] Trial 002 | Model: SVR | C=0.3083 epsilon=0.9909 kernel=rbf gamma=auto | RMSE: 9.90 | R2: 0.61 | Composite: 0.703 | Validation: WARN | No improvement
[2026-03-12 15:35] Trial 003 | Model: LightGBM | n_estimators=200 learning_rate=0.01054 num_leaves=51 min_child_samples=14 subsample=0.6984 colsample_bytree=0.8084 | RMSE: 5.15 | R2: 0.89 | Composite: 0.874 | Validation: WARN | No improvement
[2026-03-12 15:35] Trial 004 | Model: Ridge | alpha=0.001121 fit_intercept=False solver=svd | RMSE: 35.94 | R2: -4.11 | Composite: -1.240 | Validation: FAIL | Rejected
[2026-03-12 15:35] Trial 005 | Model: RandomForest | n_estimators=250 max_depth=None min_samples_split=6 min_samples_leaf=1 max_features=log2 | RMSE: 4.37 | R2: 0.92 | Composite: 0.898 | Validation: WARN | No improvement
[2026-03-12 15:35] Trial 006 | Model: SVR | C=1.811 epsilon=0.668 kernel=rbf gamma=scale | RMSE: 6.54 | R2: 0.83 | Composite: 0.830 | Validation: WARN | No improvement
[2026-03-12 15:35] Trial 007 | Model: SVR | C=1.204 epsilon=0.26 kernel=sigmoid gamma=auto | RMSE: 10.68 | R2: 0.54 | Composite: 0.669 | Validation: FAIL | Rejected
[2026-03-12 15:35] Trial 008 | Model: GradientBoosting | n_estimators=300 learning_rate=0.05057 max_depth=6 min_samples_split=10 min_samples_leaf=5 subsample=0.8738 | RMSE: 3.86 | R2: 0.94 | Composite: 0.914 | Validation: WARN | New best
[2026-03-12 15:35] Trial 009 | Model: Ridge | alpha=8.466 fit_intercept=True solver=cholesky | RMSE: 6.61 | R2: 0.83 | Composite: 0.827 | Validation: FAIL | Rejected
[2026-03-12 15:35] Trial 010 | Model: Ridge | alpha=0.1309 fit_intercept=False solver=cholesky | RMSE: 35.94 | R2: -4.11 | Composite: -1.240 | Validation: FAIL | Rejected
[2026-03-12 15:36] Trial 011 | Model: GradientBoosting | n_estimators=300 learning_rate=0.053 max_depth=6 min_samples_split=10 min_samples_leaf=5 subsample=0.886 | RMSE: 3.82 | R2: 0.94 | Composite: 0.915 | Validation: WARN | New best
[2026-03-12 15:36] Trial 012 | Model: GradientBoosting | n_estimators=300 learning_rate=0.05158 max_depth=6 min_samples_split=10 min_samples_leaf=5 subsample=0.8753 | RMSE: 3.82 | R2: 0.94 | Composite: 0.915 | Validation: WARN | New best
[2026-03-12 15:37] Trial 013 | Model: GradientBoosting | n_estimators=300 learning_rate=0.05148 max_depth=6 min_samples_split=10 min_samples_leaf=5 subsample=0.8583 | RMSE: 3.79 | R2: 0.94 | Composite: 0.916 | Validation: WARN | New best
[2026-03-12 15:37] Trial 014 | Model: XGBoost | n_estimators=300 learning_rate=0.2535 max_depth=5 min_child_weight=5.853 subsample=0.9671 colsample_bytree=0.8563 reg_alpha=1.652e-06 | RMSE: 3.78 | R2: 0.94 | Composite: 0.916 | Validation: WARN | New best
