AutoCivil-Lab Research Log
[2026-03-12 14:39] Baseline | Model: RandomForestRegressor | RMSE: 4.17 | R2: 0.93 | Composite: 0.904 | Validation: WARN | Threshold established
[2026-03-12 14:44] Trial 025 | Model: XGBoost | n_estimators=400 learning_rate=0.02435 max_depth=5 min_child_weight=2.932 subsample=0.9126 colsample_bytree=0.6986 reg_alpha=3.415e-05 | RMSE: 3.91 | R2: 0.94 | Composite: 0.912 | Validation: WARN | No improvement
[2026-03-12 14:44] Trial 026 | Model: Ridge | alpha=0.001363 fit_intercept=False solver=svd | RMSE: 35.94 | R2: -4.11 | Composite: -1.240 | Validation: FAIL | Rejected
[2026-03-12 14:44] Trial 027 | Model: SVR | C=0.6044 epsilon=0.1803 kernel=rbf gamma=auto | RMSE: 8.31 | R2: 0.73 | Composite: 0.767 | Validation: WARN | No improvement
[2026-03-12 14:44] Trial 028 | Model: RandomForest | n_estimators=100 max_depth=14 min_samples_split=6 min_samples_leaf=4 max_features=sqrt | RMSE: 4.79 | R2: 0.91 | Composite: 0.885 | Validation: WARN | No improvement
[2026-03-12 14:44] Trial 029 | Model: LightGBM | n_estimators=200 learning_rate=0.01916 num_leaves=26 min_child_samples=21 subsample=0.6052 colsample_bytree=0.8957 | RMSE: 4.49 | R2: 0.92 | Composite: 0.894 | Validation: WARN | No improvement
[2026-03-12 14:45] Trial 030 | Model: LightGBM | n_estimators=300 learning_rate=0.05 num_leaves=25 min_child_samples=10 subsample=0.8 colsample_bytree=0.8 | RMSE: 3.77 | R2: 0.94 | Composite: 0.916 | Validation: WARN | No improvement
[2026-03-12 14:45] Trial 031 | Model: SVR | C=97.67 epsilon=0.001717 kernel=poly gamma=scale | RMSE: 6.15 | R2: 0.85 | Composite: 0.844 | Validation: FAIL | Rejected
[2026-03-12 14:46] Trial 032 | Model: LightGBM | n_estimators=400 learning_rate=0.1079 num_leaves=47 min_child_samples=21 subsample=0.8732 colsample_bytree=0.695 | RMSE: 3.69 | R2: 0.95 | Composite: 0.919 | Validation: WARN | No improvement
[2026-03-12 14:46] Trial 033 | Model: LightGBM | n_estimators=450 learning_rate=0.167 num_leaves=52 min_child_samples=24 subsample=0.9173 colsample_bytree=0.6621 | RMSE: 3.58 | R2: 0.95 | Composite: 0.922 | Validation: WARN | New best
[2026-03-12 14:47] Trial 034 | Model: LightGBM | n_estimators=450 learning_rate=0.1484 num_leaves=50 min_child_samples=24 subsample=0.9144 colsample_bytree=0.6512 | RMSE: 3.71 | R2: 0.95 | Composite: 0.919 | Validation: WARN | No improvement
[2026-03-12 14:47] Trial 035 | Model: LightGBM | n_estimators=400 learning_rate=0.1587 num_leaves=53 min_child_samples=25 subsample=0.8992 colsample_bytree=0.6923 | RMSE: 3.74 | R2: 0.94 | Composite: 0.918 | Validation: WARN | No improvement
[2026-03-12 14:48] Trial 036 | Model: LightGBM | n_estimators=450 learning_rate=0.1683 num_leaves=53 min_child_samples=25 subsample=0.9061 colsample_bytree=0.6056 | RMSE: 3.79 | R2: 0.94 | Composite: 0.917 | Validation: WARN | No improvement
[2026-03-12 14:48] Trial 037 | Model: GradientBoosting | n_estimators=100 learning_rate=0.2569 max_depth=6 min_samples_split=12 min_samples_leaf=1 subsample=0.6397 | RMSE: 3.96 | R2: 0.94 | Composite: 0.911 | Validation: WARN | No improvement
[2026-03-12 14:49] Trial 038 | Model: LightGBM | n_estimators=450 learning_rate=0.1087 num_leaves=56 min_child_samples=18 subsample=0.937 colsample_bytree=0.7317 | RMSE: 3.79 | R2: 0.94 | Composite: 0.916 | Validation: WARN | No improvement
[2026-03-12 14:50] Trial 039 | Model: LightGBM | n_estimators=400 learning_rate=0.2049 num_leaves=47 min_child_samples=27 subsample=0.8616 colsample_bytree=0.7405 | RMSE: 3.73 | R2: 0.94 | Composite: 0.918 | Validation: WARN | No improvement
[2026-03-12 14:50] Trial 040 | Model: Ridge | alpha=0.004372 fit_intercept=True solver=lsqr | RMSE: 6.57 | R2: 0.83 | Composite: 0.828 | Validation: FAIL | Rejected
[2026-03-12 14:50] Trial 041 | Model: GradientBoosting | n_estimators=100 learning_rate=0.2596 max_depth=6 min_samples_split=2 min_samples_leaf=6 subsample=0.9819 | RMSE: 3.88 | R2: 0.94 | Composite: 0.913 | Validation: WARN | No improvement
[2026-03-12 14:50] Trial 042 | Model: XGBoost | n_estimators=500 learning_rate=0.1232 max_depth=9 min_child_weight=6.95 subsample=0.8865 colsample_bytree=0.6003 reg_alpha=0.004628 | RMSE: 3.81 | R2: 0.94 | Composite: 0.916 | Validation: WARN | No improvement
[2026-03-12 14:50] Trial 043 | Model: XGBoost | n_estimators=350 learning_rate=0.03183 max_depth=3 min_child_weight=9.646 subsample=0.6952 colsample_bytree=0.6831 reg_alpha=7.281e-06 | RMSE: 4.32 | R2: 0.93 | Composite: 0.899 | Validation: WARN | No improvement
[2026-03-12 14:51] Trial 044 | Model: XGBoost | n_estimators=200 learning_rate=0.1041 max_depth=5 min_child_weight=3.593 subsample=0.9929 colsample_bytree=0.8888 reg_alpha=0.0006546 | RMSE: 3.80 | R2: 0.94 | Composite: 0.915 | Validation: WARN | No improvement
[2026-03-12 14:51] Trial 045 | Model: LightGBM | n_estimators=300 learning_rate=0.05 num_leaves=25 min_child_samples=10 subsample=0.8 colsample_bytree=0.8 | RMSE: 3.77 | R2: 0.94 | Composite: 0.916 | Validation: WARN | No improvement
[2026-03-12 14:51] Trial 046 | Model: RandomForest | n_estimators=550 max_depth=6 min_samples_split=10 min_samples_leaf=1 max_features=log2 | RMSE: 5.25 | R2: 0.89 | Composite: 0.871 | Validation: WARN | No improvement
[2026-03-12 14:52] Trial 047 | Model: XGBoost | n_estimators=250 learning_rate=0.03117 max_depth=8 min_child_weight=6.181 subsample=0.6929 colsample_bytree=0.6588 reg_alpha=0.0544 | RMSE: 3.85 | R2: 0.94 | Composite: 0.914 | Validation: WARN | No improvement
[2026-03-12 14:52] Trial 048 | Model: Ridge | alpha=0.1544 fit_intercept=False solver=auto | RMSE: 35.94 | R2: -4.11 | Composite: -1.240 | Validation: FAIL | Rejected
