trial_number,model_name,display_name,hyperparameters,selection_status,validation_verdict,error_message,rmse,mae,r2,composite_score,test_rmse,test_mae,test_r2,test_composite_score,validation_pass_rate,failed_count,hard_failed_count,warning_count,suspicious_count,durability_caution_count,dataset_anomaly_count
1,SVR,SVR,"{""C"": 37.28751086411995, ""epsilon"": 0.0029699684224850594, ""kernel"": ""poly"", ""gamma"": ""scale""}",rejected_validation_fail,FAIL,,6.505951618649945,4.683896669919846,0.8328787225447742,0.8315219197448898,5.864366393248566,4.16024556756166,0.8673424517153387,0.8538801404424274,0.2824427480916031,3,3,188,82,188,94
2,GradientBoostingRegressor,GradientBoosting,"{""n_estimators"": 500, ""learning_rate"": 0.013236269469453254, ""max_depth"": 4, ""min_samples_split"": 7, ""min_samples_leaf"": 6, ""subsample"": 0.8175732324317332}",no_improvement,WARN,,4.162854367566907,3.02162506659866,0.9314185563313027,0.903565173653247,3.9629864312237477,2.945226657493448,0.93941920827772,0.9092196355113247,0.2824427480916031,0,0,188,66,188,82
3,XGBRegressor,XGBoost,"{""n_estimators"": 400, ""learning_rate"": 0.07911466619280673, ""max_depth"": 5, ""min_child_weight"": 6.055893819518677, ""subsample"": 0.6756765482932874, ""colsample_bytree"": 0.6010101842336972, ""reg_alpha"": 1.11091801328045e-06}",new_best,WARN,,3.5985689875705362,2.337835026126281,0.9485909538162309,0.9205489493790919,2.8672179715559047,1.9384463307963806,0.9682889082425089,0.9390432065567629,0.2824427480916031,0,0,188,64,188,80
4,XGBRegressor,XGBoost,"{""n_estimators"": 400, ""learning_rate"": 0.0710599278433859, ""max_depth"": 3, ""min_child_weight"": 8.310564046179636, ""subsample"": 0.7675743635216354, ""colsample_bytree"": 0.8622586904391507, ""reg_alpha"": 0.578598555464009}",no_improvement,WARN,,3.8495306715230457,2.7034526940253896,0.9413279433417294,0.9127603678582451,3.4998801346100863,2.5960508957266724,0.9527506198570932,0.9217319199380305,0.2824427480916031,0,0,188,68,188,84
5,XGBRegressor,XGBoost,"{""n_estimators"": 450, ""learning_rate"": 0.05413998229752833, ""max_depth"": 4, ""min_child_weight"": 2.2484904335317673, ""subsample"": 0.8844209635335187, ""colsample_bytree"": 0.7502175227848504, ""reg_alpha"": 3.6397728425155806}",no_improvement,WARN,,3.732774816554593,2.510874186035873,0.9448406673894452,0.9165509933354906,3.1050806522755123,2.2448082769728446,0.9628091979528943,0.9323093503968538,0.2824427480916031,0,0,188,66,188,82
6,GradientBoostingRegressor,GradientBoosting,"{""n_estimators"": 450, ""learning_rate"": 0.053123273070327395, ""max_depth"": 2, ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""subsample"": 0.6067450309817055}",no_improvement,WARN,,4.252110534590716,3.1260592556789017,0.9284888180348692,0.9008357509524816,4.167071490430181,3.141210541526054,0.9330189923615458,0.9033101969820316,0.2824427480916031,0,0,188,66,188,82
7,Ridge,Ridge,"{""alpha"": 2.9824929698997993, ""fit_intercept"": true, ""solver"": ""cholesky""}",rejected_validation_fail,FAIL,,6.574649745093289,4.932667855215676,0.8291230755896043,0.8280196865302374,6.049101828510998,4.548374379490722,0.8588530283372272,0.8465317638827323,0.2824427480916031,1,1,188,69,188,84
8,Ridge,Ridge,"{""alpha"": 53.9381855565965, ""fit_intercept"": false, ""solver"": ""cholesky""}",rejected_validation_fail,FAIL,,36.03312504829596,35.38216189210984,-4.132526726486516,-1.2485220145222573,35.94592814867627,35.3684834877455,-3.984127892712338,-1.2026936340543832,0.22137404580152673,130,130,188,130,188,27
9,RandomForestRegressor,RandomForest,"{""n_estimators"": 250, ""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 3, ""max_features"": ""log2""}",no_improvement,WARN,,4.584654446367,3.290600380211388,0.9169080674612792,0.8917355834994241,4.168411359139424,3.0242837235557904,0.932975911658584,0.9039388812548731,0.2824427480916031,0,0,188,66,188,82
10,GradientBoostingRegressor,GradientBoosting,"{""n_estimators"": 300, ""learning_rate"": 0.02541100801097339, ""max_depth"": 2, ""min_samples_split"": 3, ""min_samples_leaf"": 1, ""subsample"": 0.9405370071283433}",no_improvement,WARN,,5.176313122379354,3.955658783906783,0.8942028877737995,0.8728112038614613,5.153896469451496,4.03699780094024,0.8975383949938418,0.8736689486099871,0.2824427480916031,0,0,188,66,188,82
