AutoCivil-Lab Research Log
[2026-03-12 21:28] Baseline | Model: RandomForestRegressor | RMSE: 4.17 | R2: 0.93 | Composite: 0.904 | Validation: WARN | Threshold established
[2026-03-12 21:29] Trial 001 | Model: HistGradientBoosting | learning_rate=0.03581 max_depth=3 max_leaf_nodes=40 min_samples_leaf=19 l2_regularization=0.933 | RMSE: 5.55 | R2: 0.88 | Composite: 0.861 | Validation: WARN | No improvement
[2026-03-12 21:29] Trial 002 | Model: HistGradientBoosting | learning_rate=0.01744 max_depth=5 max_leaf_nodes=21 min_samples_leaf=15 l2_regularization=0.00324 | RMSE: 6.01 | R2: 0.86 | Composite: 0.846 | Validation: WARN | No improvement
[2026-03-12 21:29] Trial 003 | Model: XGBoost | n_estimators=350 learning_rate=0.0432 max_depth=8 min_child_weight=4.539 subsample=0.644 colsample_bytree=0.9265 reg_alpha=2.391e-05 reg_lambda=0.003924 | RMSE: 3.79 | R2: 0.94 | Composite: 0.916 | Validation: WARN | New best
[2026-03-12 21:29] Trial 004 | Model: LightGBM | n_estimators=150 learning_rate=0.01757 num_leaves=49 min_child_samples=20 subsample=0.6731 colsample_bytree=0.6717 reg_lambda=0.1657 | RMSE: 4.88 | R2: 0.91 | Composite: 0.882 | Validation: WARN | No improvement
[2026-03-12 21:29] Trial 005 | Model: LightGBM | n_estimators=350 learning_rate=0.01016 num_leaves=25 min_child_samples=24 subsample=0.8323 colsample_bytree=0.6016 reg_lambda=0.002399 | RMSE: 4.60 | R2: 0.92 | Composite: 0.891 | Validation: WARN | No improvement
[2026-03-12 21:29] Trial 006 | Model: RandomForest | n_estimators=250 max_depth=6 min_samples_split=9 min_samples_leaf=2 max_features=None | RMSE: 5.36 | R2: 0.89 | Composite: 0.868 | Validation: WARN | No improvement
[2026-03-12 21:29] Trial 007 | Model: ExtraTrees | n_estimators=600 max_depth=10 min_samples_split=7 min_samples_leaf=4 max_features=sqrt | RMSE: 5.25 | R2: 0.89 | Composite: 0.871 | Validation: WARN | No improvement
[2026-03-12 21:29] Trial 008 | Model: XGBoost | n_estimators=350 learning_rate=0.0367 max_depth=3 min_child_weight=4.775 subsample=0.7998 colsample_bytree=0.7442 reg_alpha=0.0004045 reg_lambda=0.2338 | RMSE: 4.16 | R2: 0.93 | Composite: 0.904 | Validation: WARN | No improvement
[2026-03-12 21:29] Trial 009 | Model: ExtraTrees | n_estimators=800 max_depth=None min_samples_split=4 min_samples_leaf=4 max_features=sqrt | RMSE: 5.04 | R2: 0.90 | Composite: 0.878 | Validation: WARN | No improvement
[2026-03-12 21:29] Trial 010 | Model: XGBoost | n_estimators=300 learning_rate=0.05 max_depth=5 min_child_weight=4.872 subsample=0.8 colsample_bytree=0.8 reg_alpha=0.01 reg_lambda=0.007868 | RMSE: 3.75 | R2: 0.94 | Composite: 0.916 | Validation: WARN | New best
[2026-03-12 21:29] Trial 011 | Model: CatBoost | iterations=300 learning_rate=0.03345 depth=6 l2_leaf_reg=2.164 bagging_temperature=4.441 random_strength=1.761 | RMSE: 4.40 | R2: 0.92 | Composite: 0.897 | Validation: WARN | No improvement
[2026-03-12 21:29] Trial 012 | Model: XGBoost | n_estimators=300 learning_rate=0.05136 max_depth=8 min_child_weight=4.49 subsample=0.6376 colsample_bytree=0.9699 reg_alpha=0.009764 reg_lambda=0.001678 | RMSE: 3.84 | R2: 0.94 | Composite: 0.915 | Validation: WARN | No improvement
[2026-03-12 21:29] Trial 013 | Model: XGBoost | n_estimators=350 learning_rate=0.142 max_depth=6 min_child_weight=8.286 subsample=0.7526 colsample_bytree=0.8998 reg_alpha=3.327e-06 reg_lambda=0.001958 | RMSE: 3.72 | R2: 0.95 | Composite: 0.918 | Validation: WARN | New best
