AutoCivil-Lab Research Log
[2026-03-11 13:00] Baseline | Model: RandomForestRegressor | RMSE: 2.90 | R2: 0.97 | Composite: 0.941 | Validation: WARN | Threshold established
[2026-03-11 13:03] Trial 021 | Model: LightGBM | n_estimators=400 learning_rate=0.1461 num_leaves=29 min_child_samples=24 subsample=0.9282 colsample_bytree=0.7376 | RMSE: 2.50 | R2: 0.98 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:03] Trial 164 | Model: GradientBoosting | n_estimators=350 learning_rate=0.1322 max_depth=6 min_samples_split=8 min_samples_leaf=3 subsample=0.8498 | RMSE: 2.56 | R2: 0.97 | Composite: 0.950 | Validation: WARN | ❌ No improvement
[2026-03-11 13:03] Trial 022 | Model: LightGBM | n_estimators=400 learning_rate=0.1637 num_leaves=28 min_child_samples=23 subsample=0.9321 colsample_bytree=0.7207 | RMSE: 2.53 | R2: 0.97 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:03] Trial 023 | Model: LightGBM | n_estimators=500 learning_rate=0.2881 num_leaves=26 min_child_samples=25 subsample=0.8495 colsample_bytree=0.7644 | RMSE: 2.49 | R2: 0.98 | Composite: 0.952 | Validation: WARN | ❌ No improvement
[2026-03-11 13:03] Trial 024 | Model: LightGBM | n_estimators=400 learning_rate=0.1458 num_leaves=34 min_child_samples=25 subsample=0.7984 colsample_bytree=0.7438 | RMSE: 2.53 | R2: 0.98 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:19] Trial 165 | Model: GradientBoosting | n_estimators=350 learning_rate=0.1026 max_depth=6 min_samples_split=9 min_samples_leaf=6 subsample=0.8285 | RMSE: 2.55 | R2: 0.97 | Composite: 0.950 | Validation: WARN | ❌ No improvement
[2026-03-11 13:19] Trial 025 | Model: LightGBM | n_estimators=450 learning_rate=0.292 num_leaves=19 min_child_samples=27 subsample=0.9029 colsample_bytree=0.7438 | RMSE: 2.45 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:19] Trial 026 | Model: SVR | C=0.1305 epsilon=0.00518 kernel=sigmoid gamma=auto | RMSE: 8.58 | R2: 0.74 | Composite: 0.766 | Validation: WARN | ❌ No improvement
[2026-03-11 13:19] Trial 027 | Model: RandomForest | n_estimators=100 max_depth=8 min_samples_split=2 min_samples_leaf=1 max_features=log2 | RMSE: 3.77 | R2: 0.95 | Composite: 0.917 | Validation: WARN | ❌ No improvement
[2026-03-11 13:19] Trial 028 | Model: Ridge | alpha=21.42 fit_intercept=True solver=svd | RMSE: 6.74 | R2: 0.84 | Composite: 0.829 | Validation: FAIL | ❌ Rejected
[2026-03-11 13:19] Trial 029 | Model: GradientBoosting | n_estimators=300 learning_rate=0.1395 max_depth=6 min_samples_split=10 min_samples_leaf=2 subsample=0.8511 | RMSE: 2.47 | R2: 0.98 | Composite: 0.952 | Validation: WARN | ❌ No improvement
